,House_ID,Built_Date,Priced_Date,Garden,Dock_Distance,Capital_Distance,Royal_Distance,Guarding_Distance,River_distance,Renovation,Dining_Rooms,Bedroom,Bathroom,King_visit,Curse,Blessing,Farm_land,Location,Tall,Knight_Distance,Builder,Golden_Grains
0,6e32cec0,42116021241,70916090111,0.0,138.600639,0.256239,69.486467,14.394903,63.109038,0.0,3.0,4.0,,0.0,0.0,160.0,small,King's Landing,1.0,10.505662,Bob,1470912
1,6e32ceda,102316000000,102116000000,0.0,10.998322,122.930753,63.794375,53.019891,17.045949,0.0,4.0,3.0,3.0,0.0,0.0,37.0,huge,The Mountains,1.0,132.934312,Bob,1052137
2,6e32cf09,31816030353,51716102136,0.0,52.819705,80.970959,96.656914,70.965631,6.548119,0.0,2.0,2.0,3.0,0.0,0.0,79.0,small,Cursed Land,1.0,91.425357,Bob,1017577
3,6e32cfa9,81816061223,12016081045,0.0,82.283966,4.331436,29.043012,119.126593,24.298255,0.0,3.0,2.0,3.0,0.0,1.0,156.0,small,Cursed Land,0.0,14.695102,Bob,1409057
4,6e32cfb7,91116031153,52016111649,0.0,34.524141,14.698682,6.740951,222.341302,1.821655,0.0,4.0,2.0,4.0,0.0,0.0,74.0,small,The Mountains,1.0,25.1317695,Bob,1317434
5,6e32cfd5,61316011325,61916110413,0.0,38.877415,25.065928,37.1602465,76.196189,1.257721,0.0,3.0,3.0,3.0,0.0,0.0,135.0,huge,Servant's Premises,1.0,35.568437,Bob,1333643
6,6e32d0c0,11916062450,102716000000,0.0,35.988844,4.570255,67.579542,157.877738,15.756025,0.0,2.0,3.0,4.0,0.0,0.0,155.0,small,The Mountains,1.0,15.068711,Bob,1462503
7,6e32d0f3,112216000000,11316111132,0.0,83.914728,107.184545,57.067604,147.898157,55.592034,0.0,2.0,4.0,4.0,0.0,1.0,53.0,small,The Mountains,1.0,117.410316,Bob,930118
8,6e32d166,10716020334,10216071519,0.0,64.288283,101.610694,30.217282,204.669501,60.009117,0.0,2.0,4.0,3.0,0.0,0.0,58.0,small,The Mountains,1.0,112.494554,Bob,1014617
9,6e32d234,62516050826,31116082021,0.0,59.504656,29.541134,3.36696,63.397907,21.391704,0.0,4.0,3.0,3.0,0.0,0.0,130.0,huge,King's Landing,1.0,40.454345,Bob,1574362
10,6e32d244,32216040245,100816000000,0.0,74.890453,17.524012,4.699001,86.880636,77.993602,0.0,3.66666666667,4.0,3.0,0.0,0.0,142.0,small,King's Landing,1.0,27.65599,Bob,1408207
11,6e32d266,32116030745,91116111314,0.0,1.624838,55.12687,6.031042,163.885,16.102894,1.0,3.33333333333,4.0,4.0,0.0,1.0,105.0,small,King's Landing,0.0,65.487434,Bob,1294734
12,6e32d280,91216010651,30316081742,0.0,13.14006,23.920629,7.363083,154.780872,15.867466,0.0,3.0,4.0,2.0,0.0,0.0,136.0,small,King's Landing,1.0,34.604391,Bob,1525016
13,6e32d28a,21516060848,11116080913,0.0,49.606312,54.9219175,46.463302,150.821664,14.2528695,0.0,2.5,3.0,2.5,0.0,0.5,105.0,,,0.75,65.6707655,Bob,1382287
14,6e32d2e0,91916041728,101916000000,0.0,86.072564,85.923206,85.563521,146.862456,12.638273,0.0,2.0,2.0,3.0,0.0,1.0,74.0,small,Cursed Land,0.5,96.73714,Bob,913124
15,6e32d315,30716020221,51816071132,0.0,51.245386,22.260774,9.938782,96.415385,5.789836,0.0,2.0,3.0,3.0,0.0,0.0,138.0,huge,,0.25,33.157025,Bob,1397904
16,6e32d328,120616000000,101016000000,0.0,34.410733,16.638938,8.50695933333,50.512115,15.00942,1.0,2.0,4.0,4.0,0.0,1.0,143.0,small,The Mountains,0.0,27.320449,Bob,1501970
17,6e32d349,110316000000,80216091328,0.0,47.8115965,37.7283695,7.07513666667,105.486015,28.4626445,0.5,2.0,4.0,3.0,0.0,0.5,122.0,,,0.5,48.2045705,Bob,1071513
18,6e32d3a6,121516000000,90716092440,0.0,61.21246,58.817801,5.643314,160.459915,41.915869,0.0,2.0,4.0,2.0,0.0,0.0,101.0,small,The Mountains,1.0,69.088692,Bob,1299089
19,6e32d3ad,20516031827,91516101047,0.0,8.423696,3.031959,31.432316,10.970801,21.169758,1.0,2.0,3.0,2.0,0.0,0.0,157.0,small,The Mountains,1.0,13.114153,Bob,1524907
20,6e32d3f6,41016041855,11816111536,0.0,33.069148,26.82009,34.978795,91.361455,41.862843,0.0,3.0,2.0,4.0,0.0,0.0,133.0,small,The Mountains,1.0,37.442226,Bob,1301197
21,6e32d414,80916011652,51216071732,0.0,57.7146,6.002568,47.348837,32.106155,2.87067,0.0,4.0,3.0,4.0,0.0,0.0,154.0,small,The Mountains,1.0,16.567206,Bob,1547380
22,6e32d456,80716032442,122016000000,0.0,15.523291,153.3606,32.174217,31.063726,33.493852,0.0,3.5,4.0,4.0,0.0,1.0,7.0,huge,King's Landing,1.0,163.658437,Bob,971218
23,6e32d460,82416031524,112816000000,0.0,29.046953,8.760628,124.305272,30.021297,15.976977,1.0,3.0,2.0,3.5,0.0,0.0,151.0,small,Cursed Land,1.0,19.113862,Bob,1298829
24,6e32d46a,40816030531,120516000000,0.0,42.570615,5.4904,95.254647,129.093289,69.237309,0.0,2.0,2.0,3.0,0.0,0.0,155.0,small,Servant's Premises,1.0,16.031784,Bob,1307814
25,6e32d493,101216000000,30916080332,0.0,24.68436,9.161377,66.204022,81.939551,56.170727,0.0,2.0,3.0,4.0,0.0,0.0,151.0,small,The Mountains,1.0,20.134738,Bob,1497142
26,6e32d49f,100816000000,20416121952,0.0,71.753065,39.952939,37.153397,18.206663,4.047991,0.0,4.0,2.0,2.0,0.0,0.0,120.0,small,The Mountains,1.0,50.871204,Bob,1296271
27,6e32d4dd,30416060737,52316081645,0.0,22.060342,16.090119,8.102772,146.852007,4.032337,0.0,2.0,4.0,2.0,0.0,0.0,144.0,small,,1.0,26.44061,Bob,1552937
28,6e32d4fa,60316020418,122116000000,0.0,19.373454,105.408838,112.774373,111.202407,18.14735,1.0,3.0,3.0,2.0,0.0,0.0,55.0,small,The Mountains,1.0,116.378343,Bob,972645
29,6e32d5b6,91116061830,51316090942,0.0,72.979347,68.347073,66.602162,21.463548,14.622076,0.0,4.0,2.0,4.0,0.0,0.0,92.0,small,,1.0,78.594989,Bob,1263279
30,6e32d5fa,100816000000,112816000000,0.0,76.3614813333,41.525156,80.659266,106.329489,87.554465,0.0,3.75,2.0,4.0,0.0,0.0,118.0,small,The Mountains,1.0,52.058128,Bob,1099996
31,6e32d621,51816021850,80416071838,0.0,79.7436156667,36.7672685,43.813135,171.755199,48.780428,0.0,3.5,2.5,3.0,0.0,0.5,123.0,,,1.0,47.4514275,Bob,1480667
32,6e32d653,10816001645,72116080917,0.0,83.12575,32.009381,6.967004,237.180909,10.006391,0.0,3.25,3.0,2.0,0.0,1.0,128.0,small,Servant's Premises,1.0,42.844727,Bob,1193024
33,6e32d65a,81316052426,70716071620,0.0,104.336674,91.503244,42.641175,87.265123,43.742595,0.0,3.0,2.0,4.0,0.0,0.0,68.0,small,The Mountains,1.0,101.584846,Bob,1041349
34,6e32d675,101516000000,81616081859,0.0,68.557413,65.419237,44.3395865,96.754991,32.671146,0.0,3.0,2.0,4.0,0.0,0.0,94.5,,,1.0,75.8612645,Bob,1220478
35,6e32d6ec,70316052133,110516000000,0.0,32.778152,39.33523,46.037998,106.244859,21.599697,0.0,3.0,2.0,4.0,0.0,0.0,121.0,small,Servant's Premises,1.0,50.137683,Bob,1286276
36,6e32d6ff,32316041222,111116000000,0.0,38.723276,12.31167,44.829363,16.475292,17.769839,0.0,2.0,2.0,4.0,0.0,0.0,148.0,small,The Mountains,1.0,23.021557,Bob,1359489
37,6e32d711,51216051933,91716120725,0.0,28.254131,20.812951,24.142442,248.660499,2.189447,0.0,2.0,2.0,2.0,0.0,0.0,139.0,small,The Mountains,1.0,31.530613,Bob,1296493
38,6e32d7b5,11616042337,12516111322,0.0,55.823443,5.134405,15.071091,137.720057,62.371782,0.0,3.0,3.0,3.0,0.0,0.0,155.0,small,Servant's Premises,1.0,15.870721,Bob,1425114
39,6e32d7de,81416000221,61216111442,0.0,77.178597,12.818926,29.397304,104.395568,19.416002,0.0,4.0,2.0,2.0,0.0,0.0,147.0,huge,King's Landing,1.0,23.252372,Bob,1461181
40,6e32d7e7,61716001225,12016101435,0.0,1.467809,39.575028,52.48075,102.150075,44.688567,1.0,4.0,2.0,3.0,0.0,0.0,120.0,small,The Mountains,1.0,50.2197,Bob,1297499
41,6e32d7f7,32416042321,32416120739,0.0,29.343361,41.6758645,48.020291,76.970324,11.550646,1.0,3.0,2.0,4.0,0.0,1.0,74.0,small,King's Landing,0.0,52.060276,Bob,1310906
42,6e32d80d,61116041156,12316071325,0.0,43.308427,43.776701,43.559832,48.611809,73.753749,1.0,3.0,4.0,2.0,0.0,0.5,116.0,huge,,1.0,53.900852,Bob,1398757
43,6e32d896,32316021729,30216070137,0.0,5.199882,13.210754,33.683798,94.385622,27.752067,1.0,3.0,2.0,3.0,0.0,0.0,147.0,small,The Mountains,1.0,23.24939,Bob,1480086
44,6e32d8be,120816000000,50916102219,0.0,4.55856266667,26.2379706667,24.9718643333,109.391294667,26.111284,1.0,2.66666666667,2.0,3.33333333333,0.0,0.0,134.0,,,1.0,36.3167463333,Bob,918664
45,6e32d92a,70216030151,41516100210,0.0,3.91724333333,39.2651873333,16.2599306667,124.396967333,24.470501,1.0,2.33333333333,2.0,3.66666666667,0.0,0.0,121.0,,,1.0,49.3841026667,Bob,1500788
46,6e32d93e,41916012453,21916070758,0.0,3.275924,52.292404,7.547997,139.40264,22.829718,1.0,2.0,2.0,4.0,0.0,0.0,108.0,small,,1.0,62.451459,Bob,1299739
47,6e32d945,20216022319,81216071513,0.0,51.65286,34.030773,64.948857,97.007408,26.739409,0.0,3.0,2.0,4.0,0.0,1.0,126.0,huge,King's Landing,0.0,44.507222,Bob,1377640
48,6e32d94b,61616020542,110916000000,0.0,6.676025,23.393983,35.721388,90.638097,13.909392,0.0,4.0,4.0,4.0,0.0,1.0,137.0,small,Cursed Land,1.0,33.505463,Bob,1431517
49,6e32d99a,30716011146,50316110437,0.0,58.824426,5.596892,15.008746,32.820676,13.827031,0.0,3.0,3.0,4.0,0.0,0.0,154.0,small,The Mountains,1.0,15.931279,Bob,1496979
50,6e32d9fd,61316032223,81316070139,0.0,12.526223,2.087338,51.60109,56.858607,43.996068,0.0,4.0,2.0,3.0,0.0,0.0,158.0,small,Cursed Land,1.0,12.807202,Bob,1478397
51,6e32da1d,52616042436,31316090934,0.0,9.223375,12.955231,88.088107,108.431464,12.132057,1.0,3.0,3.0,4.0,0.0,0.0,147.0,small,The Mountains,1.0,23.793021,Bob,1469463
52,6e32da37,51616012212,100416000000,0.0,38.419444,16.02218,43.842614,98.827479,19.632429,0.0,2.0,3.0,3.0,0.0,0.0,144.0,huge,The Mountains,1.0,26.024293,Bob,1434130
53,6e32da9a,10616050532,40916090955,0.0,27.1773515,13.1034175,34.354006,95.592713,17.540784,0.0,2.0,2.5,3.0,0.0,0.0,147.0,,,1.0,23.19564,Bob,1291358
54,6e32dabb,120216000000,112416000000,0.0,15.935259,10.184655,24.865398,92.357947,15.449139,0.0,2.0,2.0,3.0,0.0,0.0,150.0,small,,1.0,20.366987,Bob,1386533
55,6e32db08,62616050726,81516120457,0.0,11.523713,87.973298,15.37679,112.983892,80.233985,0.0,2.5,2.0,3.0,0.0,0.0,72.0,small,,1.0,98.711887,Bob,1065094
56,6e32db20,32516030413,62116081152,0.0,15.46026,7.434185,18.379269,95.434094,13.449091,0.0,3.0,3.0,2.0,0.0,0.0,153.0,huge,The Mountains,1.0,17.443489,Bob,1579680
