House_ID,Built_Date,Priced_Date,Garden,Dock_Distance,Capital_Distance,Royal_Distance,Guarding_Distance,River_distance,Renovation,Dining_Rooms,Bedroom,Bathroom,King_visit,Curse,Blessing,Farm_land,Location,Tall,Knight_Distance,Builder,Golden_Grains
6e32cec0,4/21/1602 12:41 AM ,7/9/1609 1:11 AM,0,138.600639,0.256239,69.486467,14.394903,63.109038,0,3,4,,0,0,160,small,King's Landing,1,10.505662,Bob,1470912
6e32ceda,10/23/1603 11:14 PM ,10/21/1611 7:40 AM,0,10.998322,122.930753,63.794375,53.019891,17.045949,0,4,3,3,0,0,37,huge,The Mountains,1,132.934312,Bob,1052137
6e32cf09,3/18/1603 3:53 AM ,5/17/1610 9:36 PM,0,52.819705,80.970959,96.656914,70.965631,6.548119,0,2,2,3,0,0,79,small,Cursed Land,1,91.425357,Bob,1017577
6e32cfa9,8/18/1606 12:23 AM ,1/20/1608 10:45 AM,0,82.283966,4.331436,29.043012,119.126593,24.298255,0,,2,3,0,1,156,small,Cursed Land,0,14.695102,Bob,1409057
6e32cfb7,9/11/1603 11:53 AM ,5/20/1611 4:49 PM,0,34.524141,,6.740951,222.341302,1.821655,0,4,2,4,0,0,74,small,The Mountains,1,,Bob,1317434
6e32cfd5,6/13/1601 1:25 PM ,6/19/1611 4:13 AM,,38.877415,25.065928,,76.196189,1.257721,0,3,3,3,0,0,135,huge,Servant's Premises,,35.568437,Bob,1333643
6e32d0c0,1/19/1606 12:50 PM ,10/27/1610 9:13 PM,0,35.988844,4.570255,67.579542,157.877738,15.756025,0,2,3,4,0,0,155,small,The Mountains,1,15.068711,Bob,1462503
6e32d0f3,11/22/1606 11:22 PM ,1/13/1611 11:32 AM,0,83.914728,107.184545,57.067604,147.898157,55.592034,0,2,4,4,0,1,53,small,The Mountains,,117.410316,Bob,930118
6e32d166,1/7/1602 3:34 AM ,1/2/1607 3:19 PM,0,64.288283,101.610694,,204.669501,60.009117,0,2,4,3,0,0,58,small,The Mountains,1,112.494554,Bob,1014617
6e32d234,6/25/1605 8:26 AM ,3/11/1608 8:21 PM,0,59.504656,29.541134,3.36696,63.397907,21.391704,0,4,3,3,0,0,130,huge,King's Landing,1,40.454345,Bob,1574362
