House_ID,Built_Date,Priced_Date,Garden,Dock_Distance,Capital_Distance,Royal_Distance,Guarding_Distance,River_distance,Renovation,Dining_Rooms,Bedroom,Bathroom,King_visit,Curse,Blessing,Farm_land,Location,Tall,Knight_Distance,Builder,Golden_Grains
6e32cec0,42116021241,70916090111,0,138.600639,0.256239,69.486467,14.394903,63.109038,0,3,4,,0,0,160,small,King's Landing,1,10.505662,Bob,1470912
6e32ceda,102316000000,102116000000,0,10.998322,122.930753,63.794375,53.019891,17.045949,0,4,3,3,0,0,37,huge,The Mountains,1,132.934312,Bob,1052137
6e32cf09,31816030353,51716102136,0,52.819705,80.970959,96.656914,70.965631,6.548119,0,2,2,3,0,0,79,small,Cursed Land,1,91.425357,Bob,1017577
6e32cfa9,81816061223,12016081045,0,82.283966,4.331436,29.043012,119.126593,24.298255,0,,2,3,0,1,156,small,Cursed Land,0,14.695102,Bob,1409057
6e32cfb7,91116031153,52016111649,0,34.524141,,6.740951,222.341302,1.821655,0,4,2,4,0,0,74,small,The Mountains,1,,Bob,1317434
6e32cfd5,61316011325,61916110413,,38.877415,25.065928,,76.196189,1.257721,0,3,3,3,0,0,135,huge,Servant's Premises,,35.568437,Bob,1333643
6e32d0c0,11916062450,102716000000,0,35.988844,4.570255,67.579542,157.877738,15.756025,0,2,3,4,0,0,155,small,The Mountains,1,15.068711,Bob,1462503
6e32d0f3,112216000000,11316111132,0,83.914728,107.184545,57.067604,147.898157,55.592034,0,2,4,4,0,1,53,small,The Mountains,,117.410316,Bob,930118
6e32d166,10716020334,10216071519,0,64.288283,101.610694,,204.669501,60.009117,0,2,4,3,0,0,58,small,The Mountains,1,112.494554,Bob,1014617
6e32d234,62516050826,31116082021,0,59.504656,29.541134,3.36696,63.397907,21.391704,0,4,3,3,0,0,130,huge,King's Landing,1,40.454345,Bob,1574362
6e32d244,32216040245,100816000000,0,74.890453,17.524012,,86.880636,77.993602,0,,4,3,0,0,142,small,King's Landing,1,27.65599,Bob,1408207
6e32d266,32116030745,91116111314,0,1.624838,55.12687,,163.885,16.102894,1,,4,4,0,1,105,small,King's Landing,0,65.487434,Bob,1294734
6e32d280,91216010651,30316081742,0,13.14006,23.920629,7.363083,154.780872,15.867466,0,3,4,2,0,0,136,small,King's Landing,1,34.604391,Bob,1525016
6e32d28a,21516060848,11116080913,,,,,,,,,,,,,,,,,,Bob,1382287
6e32d2e0,91916041728,101916000000,0,86.072564,85.923206,85.563521,146.862456,12.638273,0,2,2,3,0,1,74,small,Cursed Land,,96.73714,Bob,913124
6e32d315,30716020221,51816071132,0,51.245386,22.260774,9.938782,96.415385,5.789836,0,,,3,0,0,138,huge,,,33.157025,Bob,1397904
6e32d328,120616000000,101016000000,0,34.410733,16.638938,,50.512115,15.00942,1,2,4,4,0,1,143,small,The Mountains,0,27.320449,Bob,1501970
6e32d349,110316000000,80216091328,,,,,,,,,,,,,,,,,,Bob,1071513
6e32d3a6,121516000000,90716092440,0,61.21246,58.817801,5.643314,160.459915,41.915869,0,2,4,2,0,0,101,small,The Mountains,1,69.088692,Bob,1299089
6e32d3ad,20516031827,91516101047,0,8.423696,3.031959,31.432316,10.970801,21.169758,1,2,3,2,0,0,157,small,The Mountains,1,13.114153,Bob,1524907
6e32d3f6,41016041855,11816111536,0,,26.82009,34.978795,91.361455,41.862843,0,3,2,4,0,0,133,small,The Mountains,,37.442226,Bob,1301197
6e32d414,80916011652,51216071732,0,57.7146,6.002568,47.348837,32.106155,2.87067,0,4,3,,0,0,154,small,The Mountains,1,16.567206,Bob,1547380
6e32d456,80716032442,122016000000,0,15.523291,153.3606,32.174217,,33.493852,0,,4,4,0,1,7,huge,King's Landing,1,163.658437,Bob,971218
6e32d460,82416031524,112816000000,,,8.760628,124.305272,30.021297,15.976977,1,3,2,,0,0,151,small,Cursed Land,1,19.113862,Bob,1298829
6e32d46a,40816030531,120516000000,0,42.570615,5.4904,,129.093289,69.237309,0,2,2,3,0,0,155,small,Servant's Premises,1,16.031784,Bob,1307814
6e32d493,101216000000,30916080332,0,24.68436,9.161377,,81.939551,56.170727,0,2,3,4,0,0,151,small,The Mountains,1,20.134738,Bob,1497142
6e32d49f,100816000000,20416121952,0,71.753065,39.952939,,18.206663,4.047991,0,4,2,2,0,0,120,small,The Mountains,1,50.871204,Bob,1296271
6e32d4dd,30416060737,52316081645,,22.060342,16.090119,8.102772,146.852007,4.032337,0,2,4,2,0,0,144,small,,1,26.44061,Bob,1552937
6e32d4fa,60316020418,122116000000,,19.373454,105.408838,112.774373,111.202407,18.14735,1,3,3,2,0,0,55,small,The Mountains,1,116.378343,Bob,972645
6e32d5b6,91116061830,51316090942,0,72.979347,68.347073,66.602162,21.463548,14.622076,0,4,2,4,0,0,92,small,,1,78.594989,Bob,1263279
6e32d5fa,100816000000,112816000000,0,,41.525156,80.659266,106.329489,87.554465,0,,2,4,0,0,118,small,The Mountains,,52.058128,Bob,1099996
6e32d621,51816021850,80416071838,,,,,,,,,,,,,,,,,,Bob,1480667
6e32d653,10816001645,72116080917,0,83.12575,32.009381,6.967004,237.180909,10.006391,0,,3,2,0,1,128,small,Servant's Premises,,42.844727,Bob,1193024
6e32d65a,81316052426,70716071620,0,104.336674,91.503244,42.641175,87.265123,43.742595,0,3,2,4,0,0,68,small,The Mountains,,101.584846,Bob,1041349
6e32d675,101516000000,81616081859,,,,,,,,,,,,,,,,,,Bob,1220478
6e32d6ec,70316052133,110516000000,0,32.778152,39.33523,46.037998,106.244859,21.599697,0,3,,4,0,0,121,small,Servant's Premises,1,50.137683,Bob,1286276
6e32d6ff,32316041222,111116000000,0,38.723276,12.31167,44.829363,16.475292,17.769839,0,2,2,4,0,0,148,small,The Mountains,,23.021557,Bob,1359489
6e32d711,51216051933,91716120725,0,28.254131,20.812951,24.142442,248.660499,2.189447,0,2,2,2,0,0,139,small,The Mountains,,31.530613,Bob,1296493
6e32d7b5,11616042337,12516111322,0,55.823443,5.134405,15.071091,137.720057,62.371782,0,3,3,3,0,0,155,small,Servant's Premises,1,15.870721,Bob,1425114
6e32d7de,81416000221,61216111442,0,77.178597,12.818926,29.397304,104.395568,19.416002,0,4,2,2,0,,147,huge,King's Landing,1,23.252372,Bob,1461181
6e32d7e7,61716001225,12016101435,0,1.467809,39.575028,52.48075,102.150075,44.688567,1,4,2,3,0,0,120,small,The Mountains,1,50.2197,Bob,1297499
6e32d7f7,32416042321,32416120739,0,29.343361,,,76.970324,11.550646,1,3,2,4,0,1,74,small,King's Landing,0,,Bob,1310906
6e32d80d,61116041156,12316071325,0,43.308427,43.776701,43.559832,48.611809,73.753749,,3,4,2,0,,116,huge,,1,53.900852,Bob,1398757
6e32d896,32316021729,30216070137,0,5.199882,13.210754,33.683798,94.385622,27.752067,,3,2,3,0,0,147,small,The Mountains,1,23.24939,Bob,1480086
6e32d8be,120816000000,50916102219,,,,,,,,,,,,,,,,,,Bob,918664
6e32d92a,70216030151,41516100210,,,,,,,,,,,,,,,,,,Bob,1500788
6e32d93e,41916012453,21916070758,0,3.275924,52.292404,7.547997,139.40264,22.829718,1,2,2,4,0,0,108,small,,1,62.451459,Bob,1299739
6e32d945,20216022319,81216071513,0,51.65286,34.030773,64.948857,97.007408,26.739409,0,3,2,4,0,1,126,huge,King's Landing,0,44.507222,Bob,1377640
6e32d94b,61616020542,110916000000,0,6.676025,23.393983,35.721388,90.638097,13.909392,,4,4,4,0,1,137,small,Cursed Land,1,33.505463,Bob,1431517
6e32d99a,30716011146,50316110437,0,58.824426,5.596892,15.008746,32.820676,13.827031,0,3,3,4,0,0,154,small,The Mountains,1,15.931279,Bob,1496979
6e32d9fd,61316032223,81316070139,0,12.526223,2.087338,51.60109,56.858607,43.996068,0,4,2,3,0,,158,small,Cursed Land,1,12.807202,Bob,1478397
6e32da1d,52616042436,31316090934,0,9.223375,12.955231,88.088107,108.431464,12.132057,1,3,3,4,0,0,147,small,The Mountains,1,23.793021,Bob,1469463
6e32da37,51616012212,100416000000,0,38.419444,16.02218,43.842614,98.827479,19.632429,0,2,3,3,0,0,144,huge,The Mountains,1,26.024293,Bob,1434130
6e32da9a,10616050532,40916090955,,,,,,,,,,,,,,,,,,Bob,1291358
6e32dabb,120216000000,112416000000,0,15.935259,10.184655,,92.357947,15.449139,0,2,2,3,0,0,150,small,,,20.366987,Bob,1386533
6e32db08,62616050726,81516120457,0,11.523713,87.973298,15.37679,112.983892,80.233985,0,,2,3,0,0,72,small,,1,98.711887,Bob,1065094
6e32db20,32516030413,62116081152,0,15.46026,7.434185,18.379269,95.434094,13.449091,0,3,3,2,0,0,153,huge,The Mountains,1,17.443489,Bob,1579680
6e32db25,92516040630,82816082011,,15.849066,15.696596,103.469976,186.803229,78.881186,1,4,3,3,0,,144,huge,Cursed Land,1,26.586301,Bob,1350517
6e32db4f,72316022430,70316082122,0,47.874459,0.672768,,123.965509,38.988267,0,2,3,4,0,0,159,small,,1,11.511937,Bob,1463254
6e32dbb8,82416020323,80116102126,0,49.615816,123.454633,25.094486,244.284057,52.705442,0,2,2,4,0,1,37,small,The Mountains,,133.739395,Bob,779700
6e32dbf1,31516052415,31016082016,0,,,92.935618,11.029339,72.913419,0,2,4,4,0,0,74,huge,Cursed Land,1,,Bob,1265581
6e32dc24,52716041324,60216122148,0,44.823274,5.404916,23.778922,30.281424,5.730475,0,4,,3,0,0,155,small,,1,15.712186,Bob,1526613
6e32dcf6,91616050617,111116000000,,88.964305,28.174055,84.080113,22.450239,17.860344,0,,4,3,0,0,132,small,,1,39.068399,Bob,1375629
6e32dd65,91016030350,62716102357,0,27.201874,87.170081,21.704714,139.502086,56.897865,0,4,3,2,0,1,73,small,The Mountains,,97.790997,Bob,1067834
6e32dda9,112416000000,100116000000,0,26.687994,,32.268293,11.903833,15.684359,0,3,2,4,0,0,74,small,The Mountains,1,,Bob,1351435
6e32dde0,10416012325,120116000000,0,24.16349,37.969223,,39.814316,0.217141,0,2,4,4,0,1,122,small,,0,48.636099,Bob,1374083
6e32de28,60516021247,110816000000,0,12.605132,11.295584,46.002054,34.036435,8.416015,0,2,3,4,0,1,149,huge,King's Landing,0,21.851463,Bob,1514874
6e32deaa,72516000228,91916080418,0,16.724667,11.002872,41.762959,64.170121,22.754808,,2,2,2,0,1,149,small,Servant's Premises,,21.756024,Bob,1311292
